step,timestamp,soc_observed_mwh,soc_true_mwh,reliability_w,drift_flag,inflation,interval_width_mw,proposed_charge_mw,proposed_discharge_mw,safe_charge_mw,safe_discharge_mw,intervened,fault_active,true_soc_violated,violation_severity_mwh,price_per_mwh,controller
23,2026-01-01 22:00:00+00:00,4565.3639,4565.2174,0.6420,False,18.1674,5541.2247,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.1179,dc3s_ftit
24,2026-01-01 23:00:00+00:00,4565.1302,4565.2174,0.6606,False,17.6630,5387.3612,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.4619,dc3s_ftit
25,2026-01-02 00:00:00+00:00,4565.1696,4565.2174,0.6777,False,17.1800,5240.0581,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.8120,dc3s_ftit
26,2026-01-02 01:00:00+00:00,4564.9875,4565.2174,0.6935,False,16.7166,5098.7227,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.9511,dc3s_ftit
27,2026-01-02 02:00:00+00:00,4565.3900,4565.2174,0.7081,False,16.2712,4962.8617,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.2143,dc3s_ftit
28,2026-01-02 03:00:00+00:00,4565.3738,4565.2174,0.7216,False,15.8423,4832.0585,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,52.5353,dc3s_ftit
29,2026-01-02 04:00:00+00:00,4565.0519,4565.2174,0.7341,False,15.4289,4705.9575,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.4540,dc3s_ftit
30,2026-01-02 05:00:00+00:00,4565.0519,4565.2174,0.7458,False,15.0299,4584.2510,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,50.5293,dc3s_ftit
31,2026-01-02 06:00:00+00:00,4565.1000,4565.2174,0.7568,False,14.6444,4466.6707,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.4665,dc3s_ftit
32,2026-01-02 07:00:00+00:00,4565.1000,4565.2174,0.7670,False,14.2716,4352.9800,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.2071,dc3s_ftit
33,2026-01-02 08:00:00+00:00,4565.1928,4565.2174,0.7766,False,13.9110,4242.9687,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.8949,dc3s_ftit
34,2026-01-02 09:00:00+00:00,4564.7956,4565.2174,0.7856,False,13.5617,4136.4487,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.1920,dc3s_ftit
35,2026-01-02 10:00:00+00:00,4564.7956,4565.2174,0.7940,False,13.2234,4033.2502,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.8576,dc3s_ftit
36,2026-01-02 11:00:00+00:00,4564.9910,4565.2174,0.8020,False,12.8954,3933.2191,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.3430,dc3s_ftit
37,2026-01-02 12:00:00+00:00,4565.1283,4565.2174,0.8095,False,12.5774,3836.2147,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.5672,dc3s_ftit
38,2026-01-02 13:00:00+00:00,4565.1660,4565.2174,0.8166,False,12.2688,3742.1077,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.2633,dc3s_ftit
39,2026-01-02 14:00:00+00:00,4565.4275,4565.2174,0.8233,False,11.9694,3650.7791,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.5069,dc3s_ftit
40,2026-01-02 15:00:00+00:00,4565.2768,4565.2174,0.8297,False,11.6787,3562.1184,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.3275,dc3s_ftit
41,2026-01-02 16:00:00+00:00,4565.2354,4565.2174,0.8358,False,11.3965,3476.0227,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.5145,dc3s_ftit
42,2026-01-02 17:00:00+00:00,4565.2229,4565.2174,0.8415,False,11.1223,3392.3962,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,73.8429,dc3s_ftit
43,2026-01-02 18:00:00+00:00,4564.9615,4565.2174,0.8470,False,10.8559,3311.1487,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,72.2199,dc3s_ftit
44,2026-01-02 19:00:00+00:00,4564.9615,4565.2174,0.8522,False,10.5970,3232.1957,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.5306,dc3s_ftit
45,2026-01-02 20:00:00+00:00,4565.3066,4565.2174,0.8571,False,10.3455,3155.4575,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.3582,dc3s_ftit
46,2026-01-02 21:00:00+00:00,4565.0575,4565.2174,0.8618,False,10.1009,3080.8586,0.0000,4199.8529,0.0000,0.0000,True,False,False,0.0000,73.9811,dc3s_ftit
47,2026-01-02 22:00:00+00:00,4564.8732,4565.2174,0.8663,False,9.8631,3008.3276,0.0000,4199.6834,0.0000,0.0000,True,False,False,0.0000,60.0684,dc3s_ftit
48,2026-01-02 23:00:00+00:00,4564.8732,4565.2174,0.8707,False,9.6318,2937.7967,0.0000,4199.6834,0.0000,0.0000,True,False,False,0.0000,57.7846,dc3s_ftit
1,2026-01-01 00:00:00+00:00,9999.7400,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.0245,deterministic_lp
2,2026-01-01 01:00:00+00:00,9999.5122,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.5016,deterministic_lp
3,2026-01-01 02:00:00+00:00,9999.9209,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.2655,deterministic_lp
4,2026-01-01 03:00:00+00:00,10000.2198,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.8311,deterministic_lp
5,2026-01-01 04:00:00+00:00,10000.2818,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,53.2792,deterministic_lp
6,2026-01-01 05:00:00+00:00,10000.0922,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,52.1885,deterministic_lp
7,2026-01-01 06:00:00+00:00,9999.9875,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,57.8096,deterministic_lp
8,2026-01-01 07:00:00+00:00,10000.3056,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,56.7572,deterministic_lp
9,2026-01-01 08:00:00+00:00,9999.9120,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,55.9904,deterministic_lp
10,2026-01-01 09:00:00+00:00,9999.9120,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4164,deterministic_lp
11,2026-01-01 10:00:00+00:00,10000.5354,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.9355,deterministic_lp
12,2026-01-01 11:00:00+00:00,9999.7966,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,60.1215,deterministic_lp
13,2026-01-01 12:00:00+00:00,9999.9715,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.1563,deterministic_lp
14,2026-01-01 13:00:00+00:00,10000.1626,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.1793,deterministic_lp
15,2026-01-01 14:00:00+00:00,9999.7072,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4008,deterministic_lp
16,2026-01-01 15:00:00+00:00,10000.0580,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.5781,deterministic_lp
17,2026-01-01 16:00:00+00:00,10000.2179,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.8419,deterministic_lp
18,2026-01-01 17:00:00+00:00,10000.0169,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.1297,deterministic_lp
19,2026-01-01 18:00:00+00:00,9999.6357,4565.2174,1.0000,False,1.0000,503.4531,0.0000,5000.0000,0.0000,5000.0000,False,True,False,0.0000,74.5542,deterministic_lp
20,2026-01-01 19:00:00+00:00,4565.0577,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.0143,deterministic_lp
21,2026-01-01 20:00:00+00:00,4565.0577,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,73.0062,deterministic_lp
22,2026-01-01 21:00:00+00:00,4564.7967,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.9165,deterministic_lp
23,2026-01-01 22:00:00+00:00,4565.3639,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.1179,deterministic_lp
24,2026-01-01 23:00:00+00:00,4565.1302,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.4619,deterministic_lp
25,2026-01-02 00:00:00+00:00,4565.1696,4565.2174,1.0000,False,1.0000,449.3142,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.8120,deterministic_lp
26,2026-01-02 01:00:00+00:00,4564.9875,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.9511,deterministic_lp
27,2026-01-02 02:00:00+00:00,4565.3900,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.2143,deterministic_lp
28,2026-01-02 03:00:00+00:00,4565.3738,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,52.5353,deterministic_lp
29,2026-01-02 04:00:00+00:00,4565.0519,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.4540,deterministic_lp
30,2026-01-02 05:00:00+00:00,4565.0519,5069.3294,1.0000,False,1.0000,503.4531,547.9479,0.0000,547.9479,0.0000,False,False,False,0.0000,50.5293,deterministic_lp
31,2026-01-02 06:00:00+00:00,5069.2121,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.4665,deterministic_lp
32,2026-01-02 07:00:00+00:00,5069.2121,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.2071,deterministic_lp
33,2026-01-02 08:00:00+00:00,5069.3048,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.8949,deterministic_lp
34,2026-01-02 09:00:00+00:00,5068.9076,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.1920,deterministic_lp
35,2026-01-02 10:00:00+00:00,5068.9076,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.8576,deterministic_lp
36,2026-01-02 11:00:00+00:00,5069.1031,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.3430,deterministic_lp
37,2026-01-02 12:00:00+00:00,5069.2404,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.5672,deterministic_lp
38,2026-01-02 13:00:00+00:00,5069.2781,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.2633,deterministic_lp
39,2026-01-02 14:00:00+00:00,5069.5395,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.5069,deterministic_lp
40,2026-01-02 15:00:00+00:00,5069.3889,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.3275,deterministic_lp
41,2026-01-02 16:00:00+00:00,5069.3475,5069.3294,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.5145,deterministic_lp
42,2026-01-02 17:00:00+00:00,5069.3349,-330.6143,1.0000,False,1.0000,503.4531,0.0000,4967.9482,0.0000,4967.9482,False,False,True,330.6143,73.8429,deterministic_lp
43,2026-01-02 18:00:00+00:00,-330.8701,-20.0015,1.0000,False,1.0000,503.4531,337.6226,0.0000,337.6226,0.0000,False,False,True,20.0015,72.2199,deterministic_lp
44,2026-01-02 19:00:00+00:00,-330.8701,290.6113,1.0000,False,1.0000,503.4531,337.6226,0.0000,337.6226,0.0000,False,False,False,0.0000,70.5306,deterministic_lp
45,2026-01-02 20:00:00+00:00,290.7005,290.6113,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.3582,deterministic_lp
46,2026-01-02 21:00:00+00:00,290.4514,-18.7825,1.0000,False,1.0000,503.4531,0.0000,284.6423,0.0000,284.6423,False,False,True,18.7825,73.9811,deterministic_lp
47,2026-01-02 22:00:00+00:00,-19.1267,-0.8269,1.0000,False,1.0000,503.4531,19.5171,-0.0000,19.5171,-0.0000,False,False,True,0.8269,60.0684,deterministic_lp
48,2026-01-02 23:00:00+00:00,-19.1267,17.1288,1.0000,False,1.0000,503.4531,19.5171,0.0000,19.5171,0.0000,False,False,False,0.0000,57.7846,deterministic_lp
