source_id,title,year,venue,doi_or_url,source_type,topic_family,theorem_dependency,claim_supported,provenance,used_in_proof_dependency,read_status
SRC0011,CONSORT-AI extension,2020,Nature Medicine,https://www.nature.com/articles/s41591-020-1034-x,reporting_guideline,healthcare_validation,T10,Clinical-trial reporting boundary for AI interventions.,curated_primary_anchor,True,read_anchor
SRC0012,DECIDE-AI reporting guideline,2022,Nature Medicine,https://www.nature.com/articles/s41591-022-01772-9,reporting_guideline,healthcare_validation,T10,Early live clinical evaluation boundary.,curated_primary_anchor,True,read_anchor
SRC0013,Good Machine Learning Practice for Medical Device Development,2021,FDA,https://www.fda.gov/medical-devices/software-medical-device-samd/good-machine-learning-practice-medical-device-development-guiding-principles,regulatory_guidance,healthcare_validation,T10,Healthcare ML lifecycle and validation boundary.,curated_primary_anchor,True,read_anchor
SRC0014,<i>Planck</i> 2018 results,2020,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201833910,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0015,JUNCTIONAL COMPLEXES IN VARIOUS EPITHELIA,1963,The Journal of Cell Biology,https://doi.org/10.1083/jcb.17.2.375,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0016,Role of the normal gut microbiota,2015,World Journal of Gastroenterology,https://doi.org/10.3748/wjg.v21.i29.8787,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0017,The narrative constitution of identity: A relational and network approach,1994,Theory and Society,https://doi.org/10.1007/bf00992905,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0018,Global indirect aerosol effects: a review,2005,Atmospheric chemistry and physics,https://doi.org/10.5194/acp-5-715-2005,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0019,Reversal of Fortune: Geography and Institutions in the Making of the Modern World Income Distribution,2001,National Bureau of Economic Research,https://doi.org/10.3386/w8460,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0020,Theory of Star Formation,2007,Annual Review of Astronomy and Astrophysics,https://doi.org/10.1146/annurev.astro.45.051806.110602,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0021,Historical (1850–2000) gridded anthropogenic and biomass burning emissions of reactive gases and aerosols: methodology and application,2010,Atmospheric chemistry and physics,https://doi.org/10.5194/acp-10-7017-2010,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0022,Ultracold atomic gases in optical lattices: mimicking condensed matter physics and beyond,2007,Advances In Physics,https://doi.org/10.1080/00018730701223200,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0023,From Efficient Markets Theory to Behavioral Finance,2003,The Journal of Economic Perspectives,https://doi.org/10.1257/089533003321164967,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0024,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,IEEE Access,https://doi.org/10.1109/access.2021.3140175,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0025,The Confrontation between General Relativity and Experiment,2006,Living Reviews in Relativity,https://doi.org/10.12942/lrr-2006-3,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0026,Endogenous Innovation in the Theory of Growth,1994,The Journal of Economic Perspectives,https://doi.org/10.1257/jep.8.1.23,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0027,Clique is hard to approximate within n1−ε,1999,Acta Mathematica,https://doi.org/10.1007/bf02392825,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0028,TD-DFT benchmarks: A review,2013,International Journal of Quantum Chemistry,https://doi.org/10.1002/qua.24438,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0029,Seismic anisotropy and mantle deformation: What have we learned from shear wave splitting?,1999,Reviews of Geophysics,https://doi.org/10.1029/98rg02075,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0030,Cultural Constraints on Grammar and Cognition in Pirahã,2005,Current Anthropology,https://doi.org/10.1086/431525,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0031,<i>Colloquium</i>: The glass transition and elastic models of glass-forming liquids,2006,Reviews of Modern Physics,https://doi.org/10.1103/revmodphys.78.953,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0032,On Choosing and Bounding Probability Metrics,2002,International Statistical Review,https://doi.org/10.1111/j.1751-5823.2002.tb00178.x,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0033,Source-to-sink transport of sugar and regulation by environmental factors,2013,Frontiers in Plant Science,https://doi.org/10.3389/fpls.2013.00272,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0034,Abscisic Acid Synthesis and Response,2013,The Arabidopsis Book,https://doi.org/10.1199/tab.0166,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0035,Reduced Basis Approximation and a Posteriori Error Estimation for Affinely Parametrized Elliptic Coercive Partial Differential Equations,2008,Archives of Computational Methods in Engineering,https://doi.org/10.1007/s11831-008-9019-9,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0036,Photocatalytic disinfection using titanium dioxide: spectrum and mechanism of antimicrobial activity,2011,Applied Microbiology and Biotechnology,https://doi.org/10.1007/s00253-011-3213-7,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0037,"Penalising Model Component Complexity: A Principled, Practical Approach to Constructing Priors",2017,Statistical Science,https://doi.org/10.1214/16-sts576,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0038,"Explainable AI (XAI): Core Ideas, Techniques, and Solutions",2022,ACM Computing Surveys,https://doi.org/10.1145/3561048,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0039,Dark Energy Survey Year 3 results: Cosmological constraints from galaxy clustering and weak lensing,2022,Physical review. D/Physical review. D.,https://doi.org/10.1103/physrevd.105.023520,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0040,Histone Modifications and Cancer,2016,Cold Spring Harbor Perspectives in Biology,https://doi.org/10.1101/cshperspect.a019521,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0041,<i>Planck</i>2015 results,2016,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201527101,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0042,Minimax estimation via wavelet shrinkage,1998,The Annals of Statistics,https://doi.org/10.1214/aos/1024691081,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0043,Regional climate modeling on European scales: a joint standard evaluation of the EURO-CORDEX RCM ensemble,2014,Geoscientific model development,https://doi.org/10.5194/gmd-7-1297-2014,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0044,The Purchasing Power Parity Debate,2004,The Journal of Economic Perspectives,https://doi.org/10.1257/0895330042632744,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0045,Flexible Electronics: The Next Ubiquitous Platform,2012,Proceedings of the IEEE,https://doi.org/10.1109/jproc.2012.2190168,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0046,Recommender systems,2012,Physics Reports,https://doi.org/10.1016/j.physrep.2012.02.006,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0047,Anomalies: Risk Aversion,2001,The Journal of Economic Perspectives,https://doi.org/10.1257/jep.15.1.219,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0048,The Fire of Desire: A Multisited Inquiry into Consumer Passion,2003,Journal of Consumer Research,https://doi.org/10.1086/378613,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0049,Bounding Global Aerosol Radiative Forcing of Climate Change,2019,Reviews of Geophysics,https://doi.org/10.1029/2019rg000660,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0050,Interactions between frontal cortex and basal ganglia in working memory: A computational model,2001,Cognitive Affective & Behavioral Neuroscience,https://doi.org/10.3758/cabn.1.2.137,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0051,The Glossary of Prosthodontic Terms,2017,Journal of Prosthetic Dentistry,https://doi.org/10.1016/j.prosdent.2016.12.001,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0052,"Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations",2020,Geoscientific model development,https://doi.org/10.5194/gmd-13-6165-2020,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0053,Analytic and geometric background of recurrence and non-explosion of the Brownian motion on Riemannian manifolds,1999,Bulletin of the American Mathematical Society,https://doi.org/10.1090/s0273-0979-99-00776-4,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0054,Adaptation to Climate Change: Evidence from US Agriculture,2016,American Economic Journal Economic Policy,https://doi.org/10.1257/pol.20130025,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0055,Microbial lipases and their industrial applications: a comprehensive review,2020,Microbial Cell Factories,https://doi.org/10.1186/s12934-020-01428-8,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0056,Nobel lecture: When atoms behave as waves: Bose-Einstein condensation and the atom laser,2002,Reviews of Modern Physics,https://doi.org/10.1103/revmodphys.74.1131,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0057,A Unifying Review of Deep and Shallow Anomaly Detection,2021,Proceedings of the IEEE,https://doi.org/10.1109/jproc.2021.3052449,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0058,A geometric distance measurement to the Galactic center black hole with 0.3% uncertainty,2019,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201935656,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0059,ECCO version 4: an integrated framework for non-linear inverse modeling and global ocean state estimation,2015,Geoscientific model development,https://doi.org/10.5194/gmd-8-3071-2015,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0060,A New Moist Turbulence Parameterization in the Community Atmosphere Model,2008,Journal of Climate,https://doi.org/10.1175/2008jcli2556.1,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0061,Human Capital vs. Signalling Explanations of Wages,1995,The Journal of Economic Perspectives,https://doi.org/10.1257/jep.9.4.133,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0062,The Inverse Mean Curvature Flow and the Riemannian Penrose Inequality,2001,Journal of Differential Geometry,https://doi.org/10.4310/jdg/1090349447,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0063,"A survey on deep learning tools dealing with data scarcity: definitions, challenges, solutions, tips, and applications",2023,Journal Of Big Data,https://doi.org/10.1186/s40537-023-00727-2,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0064,Quantum Gravity in Everyday Life: General Relativity as an Effective Field Theory,2004,Living Reviews in Relativity,https://doi.org/10.12942/lrr-2004-5,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0065,Chemical composition of rivers and lakes,1963,USGS professional paper,https://doi.org/10.3133/pp440g,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0066,Alveolar epithelial type II cell: defender of the alveolus revisited,2001,Respiratory Research,https://doi.org/10.1186/rr36,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0067,Convergence rates of posterior distributions,2000,The Annals of Statistics,https://doi.org/10.1214/aos/1016218228,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0068,The Biology and Clinical Uses of Blood Stem Cells,1997,Blood,https://doi.org/10.1182/blood.v89.7.2233,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0069,Macrophage heterogeneity in tissues: phenotypic diversity and functions,2014,Immunological Reviews,https://doi.org/10.1111/imr.12223,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0070,"Neurofilament phosphoforms: Surrogate markers for axonal injury, degeneration and loss",2005,Journal of the Neurological Sciences,https://doi.org/10.1016/j.jns.2005.03.015,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0071,Present state of global wetland extent and wetland methane modelling: conclusions from a model inter-comparison project (WETCHIMP),2013,Biogeosciences,https://doi.org/10.5194/bg-10-753-2013,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0072,Configurations of inter-organizational relationships : a comparison between US and Japanese automakers,1996,DSpace@MIT (Massachusetts Institute of Technology),http://hdl.handle.net/1721.1/16592,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0073,Risk bounds for model selection via penalization,1999,Probability Theory and Related Fields,https://doi.org/10.1007/s004400050210,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0074,Global Diversity of Sponges (Porifera),2012,PLoS ONE,https://doi.org/10.1371/journal.pone.0035105,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0075,A Probabilistic Model of Lexical and Syntactic Access and Disambiguation,1996,Cognitive Science,https://doi.org/10.1207/s15516709cog2002_1,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0076,Quorum quenching: role in nature and applied developments,2015,FEMS Microbiology Reviews,https://doi.org/10.1093/femsre/fuv038,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0077,Projected 21st century decrease in marine productivity: a multi-model analysis,2010,Biogeosciences,https://doi.org/10.5194/bg-7-979-2010,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0078,"Multivariate analysis by data depth: descriptive statistics, graphics and inference, (with discussion and a rejoinder by Liu and Singh)",1999,The Annals of Statistics,https://doi.org/10.1214/aos/1018031260,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0079,Solving inverse problems using data-driven models,2019,Acta Numerica,https://doi.org/10.1017/s0962492919000059,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0080,Control of GluR1 AMPA Receptor Function by cAMP-Dependent Protein Kinase,2000,Journal of Neuroscience,https://doi.org/10.1523/jneurosci.20-01-00089.2000,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0081,Advances in Variational Inference,2018,IEEE Transactions on Pattern Analysis and Machine Intelligence,https://doi.org/10.1109/tpami.2018.2889774,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0082,"Dyson-Schwinger equations: Density, temperature and continuum strong QCD",2000,Progress in Particle and Nuclear Physics,https://doi.org/10.1016/s0146-6410(00)90011-5,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0083,"Frequently asked questions about chlorophyll fluorescence, the sequel",2016,Photosynthesis Research,https://doi.org/10.1007/s11120-016-0318-y,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0084,Early Signaling Events Induced by Elicitors of Plant Defenses,2006,Molecular Plant-Microbe Interactions,https://doi.org/10.1094/mpmi-19-0711,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0085,Cardiolipins and biomembrane function,1992,Biochimica et Biophysica Acta (BBA) - Reviews on Biomembranes,https://doi.org/10.1016/0304-4157(92)90035-9,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0086,Consensus guidelines for the use and interpretation of angiogenesis assays,2018,Angiogenesis,https://doi.org/10.1007/s10456-018-9613-x,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0087,Mesocrystals—Ordered Nanoparticle Superstructures,2009,Advanced Materials,https://doi.org/10.1002/adma.200901365,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0088,Earth's energy imbalance and implications,2011,Atmospheric chemistry and physics,https://doi.org/10.5194/acp-11-13421-2011,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0089,The HARMONIE–AROME Model Configuration in the ALADIN–HIRLAM NWP System,2017,Monthly Weather Review,https://doi.org/10.1175/mwr-d-16-0417.1,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0090,Epithelial Cell Adhesion Molecule,2007,American Journal Of Pathology,https://doi.org/10.2353/ajpath.2007.070152,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0091,A roadmap for improving the representation of photosynthesis in Earth system models,2016,New Phytologist,https://doi.org/10.1111/nph.14283,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0092,A meta‐analysis of plant responses to light intensity for 70 traits ranging from molecules to whole plant performance,2019,New Phytologist,https://doi.org/10.1111/nph.15754,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0093,Mixed-Mode Oscillations with Multiple Time Scales,2012,SIAM Review,https://doi.org/10.1137/100791233,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0094,Rotating Stars in Relativity,2003,Living Reviews in Relativity,https://doi.org/10.12942/lrr-2003-3,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0095,Estrogen and Cognitive Functioning in Women,2003,Endocrine Reviews,https://doi.org/10.1210/er.2001-0016,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0096,Climatic and environmental change in Africa during the last two centuries,2001,Climate Research,https://doi.org/10.3354/cr017123,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0097,"Artificial Intelligence, Algorithmic Pricing, and Collusion",2020,American Economic Review,https://doi.org/10.1257/aer.20190623,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0098,Constitutive heterochromatin formation and transcription in mammals,2015,Epigenetics & Chromatin,https://doi.org/10.1186/1756-8935-8-3,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0099,The Two Faces of Education in Ethnic Conflict : Towards a Peacebuilding Education for Children,2000,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",https://orcid.org/0000-0002-3557-2389>,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0100,"Evidence on Discrimination in Employment: Codes of Color, Codes of Gender",1998,The Journal of Economic Perspectives,https://doi.org/10.1257/jep.12.2.63,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0101,"Tropospheric ozone changes, radiative forcing and attribution to emissions in the Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP)",2013,Atmospheric chemistry and physics,https://doi.org/10.5194/acp-13-3063-2013,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
SRC0102,Circulating tumor cell technologies,2016,Molecular Oncology,https://doi.org/10.1016/j.molonc.2016.01.007,openalex_work,lower_bounds,T10,T10 boundary-indistinguishability lower-bound lineage.,openalex_search:Le Cam two point method lower bound total variation,True,metadata_screened
