trace_id,scenario_id,controller,fault_family,step_index,observed_margin,true_margin,margin_gap,reliability_w,widening_factor,intervened,fallback_used,certificate_valid,validity_score
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-44-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,44,92.0,-2.9603235740212037,94.9603235740212,1.0,1.2521673636973063,False,False,True,0.964774662930294
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.02.26.27_veh-49_01063_01186:scene-0004:91-31-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.02.26.27_veh-49_01063_01186:scene-0004:91,orius,stale,31,92.0,-2.957391629488109,94.95739162948811,0.6022727272727273,1.958525495966752,False,False,True,0.7624218360531393
nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.09.20.19.14.01_veh-28_00727_00870:scene-0004:91-35-orius,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.09.20.19.14.01_veh-28_00727_00870:scene-0004:91,orius,stale,35,92.0,-2.9522272388561124,94.95222723885611,1.0,1.357116663405275,False,False,True,0.8892588071434349
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-43-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,43,92.0,-2.9515796385109754,94.95157963851098,1.0,1.251102458862123,False,False,True,0.9659587716038052
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.24.03.59.37_veh-49_01281_01488:scene-0005:182-48-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.24.03.59.37_veh-49_01281_01488:scene-0005:182,orius,stale,48,92.0,-2.943723871235818,94.94372387123582,1.0,1.5119672110574938,False,False,True,0.9295020775621734
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-42-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,42,92.0,-2.9434451670220856,94.94344516702209,1.0,1.2627917489885645,False,False,True,0.9543355724515884
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-41-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,41,92.0,-2.9363692520751297,94.93636925207512,1.0,1.2622794173434273,False,False,True,0.9551936666740584
nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.10.08.13.47.38_veh-28_00089_00172:scene-0004:273-28-orius,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.10.08.13.47.38_veh-28_00089_00172:scene-0004:273,orius,stale,28,92.0,-2.9345770066264514,94.93457700662645,1.0,1.5444200502923635,False,False,True,0.8367950385509928
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.02.26.27_veh-49_01063_01186:scene-0004:91-32-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.02.26.27_veh-49_01063_01186:scene-0004:91,orius,stale,32,92.0,-2.9304297287118777,94.93042972871187,0.5909090909090909,1.9468532758878565,False,False,True,0.7931309820292635
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-40-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,40,92.0,-2.927414358148477,94.92741435814848,1.0,1.2600046986470836,False,False,True,0.9578395433024816
